seq,time_sched_sec,time_actual_sec,jitter_ns,q_des_deg,dq_des_deg_s,tau_des_Nm,q_act_deg,dq_act_deg_s,temp_C,merror,ads_voltage,gait_phase
1,0.002000000,0.002009413,9413,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,28.000000000,0,0.001375000,0.002009413
2,0.004000000,0.004003382,3382,0.000000000,0.000000000,0.000000000,-0.282858315,-241.706729304,28.000000000,0,0.001375000,0.004003382
3,0.006000000,0.006002925,2925,0.000000000,0.000000000,0.000000000,-1.025361390,-414.322655892,28.000000000,0,0.000875000,0.006002925
4,0.008000000,0.008004171,4171,0.000000000,0.000000000,0.000000000,-1.891614979,-456.310300179,28.000000000,0,-0.000500000,0.008004171
5,0.010000000,0.010004566,4566,0.000000000,0.000000000,0.000000000,-2.793225857,-449.867780815,28.000000000,0,0.001875000,0.010004566
6,0.012000000,0.012004794,4794,0.000000000,0.000000000,0.000000000,-3.606443511,-438.537772246,28.000000000,0,-0.001375000,0.012004794
7,0.014000000,0.014003929,3929,0.000000000,0.000000000,0.000000000,-4.490375744,-421.209523846,28.000000000,0,-0.000375000,0.014003929
8,0.016000000,0.016003583,3583,0.000000000,0.000000000,0.000000000,-5.356629333,-420.320895723,28.000000000,0,-0.001125000,0.016003583
9,0.018000000,0.018003719,3719,0.000000000,0.000000000,0.000000000,-6.240561566,-415.655598077,28.000000000,0,-0.001125000,0.018003719
10,0.020000000,0.020003613,3613,0.000000000,0.000000000,0.000000000,-7.036100575,-410.101672307,28.000000000,0,-0.000250000,0.020003613
11,0.022000000,0.022003749,3749,0.000000000,0.000000000,0.000000000,-7.866996875,-403.436961384,28.000000000,0,-0.001375000,0.022003749
12,0.024000000,0.024004051,4051,0.000000000,0.000000000,0.000000000,-8.697893174,-421.653837907,28.000000000,0,0.001000000,0.024004051
13,0.026000000,0.026004112,4112,0.000000000,0.000000000,0.000000000,-9.458074894,-406.325002784,28.000000000,0,0.000375000,0.026004112
14,0.028000000,0.028003822,3822,0.000000000,0.000000000,0.000000000,-10.271292549,-408.768730123,28.000000000,0,0.000000000,0.028003822
15,0.030000000,0.030003549,3549,0.000000000,0.000000000,0.000000000,-11.049152914,-391.884795784,28.000000000,0,0.000625000,0.030003549
16,0.032000000,0.032003648,3648,0.000000000,0.000000000,0.000000000,-11.827013279,-391.884795784,28.000000000,0,0.000625000,0.032003648
17,0.034000000,0.034004376,4376,0.000000000,0.000000000,0.000000000,-12.604873644,-400.548919984,28.000000000,0,-0.000125000,0.034004376
18,0.036000000,0.036003530,3530,0.000000000,0.000000000,0.000000000,-13.382734009,-381.887729399,28.000000000,0,0.001000000,0.036003530
19,0.038000000,0.038003721,3721,0.000000000,0.000000000,0.000000000,-14.125237085,-378.999722528,28.000000000,0,-0.001000000,0.038003721
20,0.040000000,0.040003949,3949,0.000000000,0.000000000,0.000000000,-14.867740161,-372.112854574,28.000000000,0,0.000000000,0.040003949
21,0.042000000,0.042003547,3547,0.000000000,0.000000000,0.000000000,-15.627921881,-370.557755359,28.000000000,0,0.000000000,0.042003547
22,0.044000000,0.044004960,4960,0.000000000,0.000000000,0.000000000,-16.335067668,-377.000309251,28.000000000,0,0.000000000,0.044004960
23,0.046000000,0.046003818,3818,0.000000000,0.000000000,0.000000000,-17.059892099,-371.446383482,28.000000000,0,-0.001250000,0.046003818
24,0.048000000,0.048003601,3601,0.000000000,0.000000000,0.000000000,-17.731680596,-345.898324943,28.000000000,0,0.000750000,0.048003601
25,0.050000000,0.050003978,3978,0.000000000,0.000000000,0.000000000,-18.421147738,-344.565382758,28.000000000,0,0.001375000,0.050003978
26,0.052000000,0.052003428,3428,0.000000000,0.000000000,0.000000000,-19.128293524,-338.344985897,28.000000000,0,-0.000125000,0.052003428
27,0.054000000,0.054005248,5248,0.000000000,0.000000000,0.000000000,-19.853117955,-351.007936651,28.000000000,0,0.000375000,0.054005248
28,0.056000000,0.056003347,3347,0.000000000,0.000000000,0.000000000,-20.507227808,-349.674994466,28.000000000,0,-0.001000000,0.056003347
29,0.058000000,0.058003927,3927,0.000000000,0.000000000,0.000000000,-21.143659016,-323.682621866,28.000000000,0,-0.001000000,0.058003927
30,0.060000000,0.060003266,3266,0.000000000,0.000000000,0.000000000,-21.833126158,-320.350266404,28.000000000,0,0.000625000,0.060003266
31,0.062000000,0.062007068,7068,0.000000000,0.000000000,0.000000000,-22.469557365,-312.574770327,28.000000000,0,0.001000000,0.062007068
32,0.064000000,0.064004962,4962,0.000000000,0.000000000,0.000000000,-23.105988573,-310.131077517,28.000000000,0,0.001125000,0.064004962
33,0.066000000,0.066003931,3931,0.000000000,0.000000000,0.000000000,-23.724741136,-306.798722056,28.000000000,0,-0.000625000,0.066003931
34,0.068000000,0.068003530,3530,0.000000000,0.000000000,0.000000000,-24.325815055,-308.131664240,28.000000000,0,-0.000125000,0.068003530
35,0.070000000,0.070003258,3258,0.000000000,0.000000000,0.000000000,-24.962246263,-301.022639256,28.000000000,0,0.001125000,0.070003258
36,0.072000000,0.072003078,3078,0.000000000,0.000000000,0.000000000,-25.545641537,-309.464606425,28.000000000,0,0.001125000,0.072003078
37,0.074000000,0.074006639,6639,0.000000000,0.000000000,0.000000000,-26.146715455,-298.578911917,28.000000000,0,0.000375000,0.074006639
38,0.076000000,0.076003330,3330,0.000000000,0.000000000,0.000000000,-26.730110729,-292.358515056,28.000000000,0,0.000000000,0.076003330
39,0.078000000,0.078003799,3799,0.000000000,0.000000000,0.000000000,-27.295827358,-292.136358025,28.000000000,0,0.000250000,0.078003799
40,0.080000000,0.080003638,3638,0.000000000,0.000000000,0.000000000,-27.879222632,-283.027919763,28.000000000,0,0.000125000,0.080003638
41,0.082000000,0.082003477,3477,0.000000000,0.000000000,0.000000000,-28.444939261,-291.025572871,28.000000000,0,-0.000625000,0.082003477
